Agency,wfs,sosswq,soslwq,sosmac
ecan,https://gis.ecan.govt.nz/arcgis/services/emar/MapServer/WFSServer?version=1.1.0&request=GetFeature&service=WFS&typename=emar:MonitoringSiteReferenceData&srsName=EPSG:4326,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData
gdc,http://hilltop.gdc.govt.nz/data.hts?service=WFS&request=GetFeature&typename=MonitoringSiteReferenceData&version=1.1.0,http://hilltop.gdc.govt.nz/data.hts?service=Hilltop&request=GetData,http://hilltop.gdc.govt.nz/LAWA_lake_WQ.hts?service=Hilltop&request=GetData,http://hilltop.gdc.govt.nz/data.hts?service=Hilltop&request=GetData
