id,t,site,variable,value,error,status_code,url
,,SQ34893,pH (Field),,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34893&Measurement=pH (Field)
,,SQ34893,"Cyanobacteria biovolume, Total",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34893&Measurement=Cyanobacteria biovolume, Total"
,,SQ34893,Secchi Disk,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34893&Measurement=Secchi Disk
,,SQ34893,"Cyanobacteria biovolume, Potentially toxic",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34893&Measurement=Cyanobacteria biovolume, Potentially toxic"
,,SQ34893,pH,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34893&Measurement=pH
,,SQ34893,Total Nitrogen,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34893&Measurement=Total Nitrogen
,,SQ34893,Total Phosphorus,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34893&Measurement=Total Phosphorus
,,SQ34846,Secchi Disk,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=Secchi Disk
,,SQ34846,pH,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=pH
,,SQ34846,"Cyanobacteria biovolume, Potentially toxic",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=Cyanobacteria biovolume, Potentially toxic"
,,SQ34846,"Cyanobacteria biovolume, Total",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=Cyanobacteria biovolume, Total"
,,SQ34846,pH (Field),,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=pH (Field)
,,SQ34887,E. coli,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=E. coli
,,SQ34887,pH (Field),,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=pH (Field)
,,SQ34887,pH,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=pH
,,SQ34887,"Cyanobacteria biovolume, Potentially toxic",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=Cyanobacteria biovolume, Potentially toxic"
,,SQ34887,"Cyanobacteria biovolume, Total",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=Cyanobacteria biovolume, Total"
,,SQ34887,Secchi Disk,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=Secchi Disk
,,SQ35082,Ammoniacal Nitrogen,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=Ammoniacal Nitrogen
,,SQ35082,Chlorophyll a (planktonic),,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=Chlorophyll a (planktonic)
,,SQ35082,pH (Field),,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=pH (Field)
,,SQ35082,pH,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=pH
,,SQ35082,"Cyanobacteria biovolume, Potentially toxic",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=Cyanobacteria biovolume, Potentially toxic"
,,SQ35082,Secchi Disk,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=Secchi Disk
,,SQ35082,"Cyanobacteria biovolume, Total",,No data found,200,"http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=Cyanobacteria biovolume, Total"
,,SQ35082,Total Nitrogen,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=Total Nitrogen
,,SQ35082,Total Phosphorus,,No data found,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=Total Phosphorus
